SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,GHGEmissionsIntensity(kgCO2e/ft2),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),SPD Beats,Seattle Police Department Micro Community Policing Plan Areas,GHGEmissionsIntensity,TotalGHGEmissions,City,State,ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,ListOfAllPropertyUseTypes,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),Electricity(kBtu),SourceEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SiteEnergyUse(kBtu),NumberofFloors,NumberofBuildings,DefaultData,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),Neighborhood,CouncilDistrictCode,ComplianceStatus,PropertyGFAParking,YearBuilt,PropertyGFATotal,BuildingType,DataYear,zip_codes,Longitude,Latitude,parcelTax_number
28074.10015345275,50.0,0.42,0.0,28.78,27.0,33.0,1.175916245916246,120.07988409011996,1.0,1.0,91.0,14.0,54986.0,181.0,80.3,0.0,375707.0,3737.0,373700.0,1281965.0,91.0,30.1,33.5,1842702.0,1655612.0,2.0,1.0,0.0,50.0,6.0,54986.0,11.0,7.0,0.0,0.0,1990.0,54986.0,7.0,2015.0,18235.0,-122.39065097,47.65726207,369000400.0
28074.10015345275,50.0,1.44,0.0,258.67,48.0,53.0,1.175916245916246,120.07988409011996,1.0,1.0,88.0,14.0,182861.0,181.0,53.6,0.0,457772.0,46655.0,4665500.0,1561983.0,67.3,34.1,45.5,8317888.0,6227419.0,2.0,1.0,1.0,51.0,6.0,175565.0,13.0,4.0,0.0,0.0,1950.0,175565.0,7.0,2015.0,18792.0,-122.2939354,47.68245037,425049022.0
39314.0,23.0,1.1,0.0,123.08,1.0,4.0,1.175916245916246,120.07988409011996,1.0,1.0,57.0,24.0,55586.0,321.0,161.3,0.0,1257186.0,17543.0,1754334.0,4289697.0,165.9,63.7,69.6,6605535.0,6043853.0,2.0,1.0,0.0,52.0,26.0,94900.0,0.0,6.0,0.0,0.0,1961.0,94900.0,4.0,2015.0,18386.0,-122.3860321,47.66580963,467000429.0
7849.0,26.0,0.98,0.0,56.97,41.0,42.0,1.175916245916246,120.07988409011996,1.0,1.0,93.0,24.0,51029.0,353.0,81.6,0.0,359310.0,9117.0,911721.0,1226016.0,84.5,36.3,37.2,2192109.0,2137686.0,2.0,1.0,0.0,53.0,26.0,52554.0,9.0,2.0,0.0,0.0,1900.0,52554.0,4.0,2015.0,17919.0,-122.31181286,47.58002948,570000340.0
28074.10015345275,50.0,1.37,0.0,251.72,25.0,53.0,1.175916245916246,120.07988409011996,1.0,1.0,95.0,14.0,175015.0,181.0,74.6,0.0,789588.0,43860.0,4386042.0,2694187.0,85.8,40.5,49.1,8596269.0,7080118.0,3.0,1.0,0.0,54.0,6.0,175015.0,14.0,6.0,0.0,0.0,1954.0,175015.0,4.0,2015.0,18377.0,-122.33616192,47.68894837,625049002.0
28197.0,48.0,0.47,0.0,39.87,9.0,5.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,49.0,38439.0,411.0,79.6,0.0,471115.0,5396.0,539617.0,1607511.0,82.0,30.5,33.7,2377595.0,2147062.0,3.0,1.0,0.0,55.0,24.0,70586.0,6.0,7.0,0.0,0.0,1911.0,70586.0,4.0,2015.0,19576.0,-122.35096928,47.61311034,653000225.0
28074.10015345275,50.0,0.63,0.0,263.85,24.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,68.0,13.0,348630.0,164.0,121.0,0.0,3607318.0,33525.0,3352459.0,12308680.0,121.0,44.9,44.9,15660628.0,15660628.0,24.0,1.0,0.0,56.0,5.0,126240.0,6.0,7.0,0.0,205970.0,1969.0,332210.0,4.0,2015.0,18081.0,-122.3334029,47.60950466,1975700040.0
65676.0,42.0,0.15,0.0,64.23,24.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,79.0,24.0,103501.0,69.0,170.7,0.0,2700422.0,0.0,0.0,9214222.0,170.7,54.3,54.3,9213841.0,9213841.0,5.0,1.0,0.0,57.0,8.0,168115.0,6.0,7.0,0.0,0.0,1973.0,168115.0,4.0,2015.0,18081.0,-122.3363484,47.61103976,1975700200.0
13028.0,23.0,0.0,0.0,0.0,24.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,48.0,34617.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5194673.270239048,2.0,1.0,0.0,58.0,21.0,57428.0,6.0,7.0,0.0,0.0,1920.0,57428.0,4.0,2015.0,18081.0,-122.337677,47.61076355,1975700365.0
4993.0,42.0,0.18,0.0,27.3,24.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,24.0,34947.0,409.0,307.9,0.0,1147698.0,0.0,0.0,3916108.0,343.5,98.0,109.4,4369220.0,3915947.0,8.0,1.0,0.0,59.0,26.0,59400.0,6.0,7.0,0.0,0.0,1910.0,59400.0,4.0,2015.0,18081.0,-122.33795929,47.610466,1975700380.0
23500.0,41.0,10.67,0.0,583.41,24.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,27.0,23500.0,358.0,522.8,0.0,1551526.0,102901.0,10290141.0,5294026.0,537.1,297.1,316.4,16598244.0,15583947.0,2.0,1.0,0.0,60.0,12.0,52549.0,6.0,7.0,0.0,0.0,1926.0,52549.0,4.0,2015.0,18081.0,-122.3374176,47.60883331,1975700525.0
